Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
1000000,2024-01-03_11h10m14s,False,75,25,512,884508404,1469,6,45.8892617225647,32.01184645072776,43.0747172832489,34.10353201717407
1000000,2024-01-03_11h10m14s,False,75,50,default,884508404,1469,75,62.72007703781128,23.421527354221872,59.93657398223877,24.50924206037059
1000000,2024-01-03_11h10m14s,False,75,50,,884508404,1469,75,47.96651339530945,30.62553218937215,45.135616064071655,32.54635979521584
1000000,2024-01-03_11h10m14s,False,75,50,8,884508404,1469,75,44.41686677932739,33.073021726145384,41.61312413215637,35.301362986703424
1000000,2024-01-03_11h10m14s,False,75,50,64,884508404,1469,25,39.621371030807495,37.07595072512213,36.78550863265991,39.93420383742506
1000000,2024-01-03_11h10m14s,False,75,50,128,884508404,1469,13,37.39784908294678,39.280333923531884,34.58117651939392,42.47975771374207
1000000,2024-01-03_11h10m14s,False,75,50,256,884508404,1469,6,36.03325700759888,40.76789394004016,33.17564415931702,44.27947180002072
1000000,2024-01-03_11h10m14s,False,75,50,512,884508404,1469,6,38.53394389152527,38.12223332590349,35.58367657661438,41.28297414229051
1000000,2024-01-03_11h10m14s,False,200,1,default,884508404,1469,200,106.24259924888612,13.82684544980578,103.41854882240295,14.204415133717088
1000000,2024-01-03_11h10m14s,False,200,1,,884508404,1469,200,115.26042366027832,12.745051192330944,112.382789850235,13.07139644742436
1000000,2024-01-03_11h10m14s,False,200,1,8,884508404,1469,200,105.048837184906,13.983972020692429,102.27782917022704,14.362839062169146
1000000,2024-01-03_11h10m14s,False,200,1,64,884508404,1469,24,53.14574837684631,27.64096931298441,50.13916611671448,29.29845296151209
1000000,2024-01-03_11h10m14s,False,200,1,128,884508404,1469,12,31.34201717376709,46.8699889945034,28.53176760673523,51.48647010755923
1000000,2024-01-03_11h10m14s,False,200,1,256,884508404,1469,6,24.455480098724365,60.068336179449005,21.581912517547607,68.06625681600738
1000000,2024-01-03_11h10m14s,False,200,1,512,884508404,1469,6,25.94187498092652,56.62659314641161,22.98385667800904,63.91442570234699
1000000,2024-01-03_11h10m14s,False,200,2,default,884508404,1469,200,70.86286759376526,20.73017999245133,68.04846358299255,21.58755573090043
1000000,2024-01-03_11h10m14s,False,200,2,,884508404,1469,200,71.10123920440674,20.660680691890864,68.29024910926819,21.51112375720754
