Job ID,Dataset,Preserve order,Parallelism,Num cpus preprocess,Num cpus inference,Batch size preprocess,Batch size inference,Concurrency,Repetitions,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,8,1,1,1132208,6388,60,458.7509253025055,13.924767553956826,379.1389389038086,16.848704642338785
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,8,4,1,1132208,6388,60,105.82964396476746,60.36115931871298,104.46163034439088,61.15163987906309
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,16,1,1,1132208,6388,60,399.6651344299317,15.98338070973246,397.9244382381439,16.053299034066875
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,16,4,1,1132208,6388,60,122.08675599098206,52.32344776588093,120.5364155769348,52.996432401150415
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,32,1,1,1132208,6388,60,482.8835861682892,13.228861330096496,481.24245262146,13.27397440770823
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,32,4,1,1132208,6388,60,129.47149753570557,49.33904466686439,127.82447695732117,49.97477910379297
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,64,1,1,1132208,6388,60,550.1182823181152,11.61204818185997,548.0680649280548,11.655486624345748
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,8,64,4,1,1132208,6388,60,142.7825801372528,44.73935121398842,141.18525552749634,45.24551785618941
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,8,1,1,1132208,6388,60,452.7864685058594,14.108195461493423,450.6581070423126,14.174825439011189
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,8,4,1,1132208,6388,60,109.82760524749756,58.16388316584506,108.26606059074402,59.00279335134624
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,16,1,1,1132208,6388,60,477.3914330005646,13.381052860226852,475.6073434352875,13.43124762090468
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,16,4,1,1132208,6388,60,128.0068016052246,49.9035982455113,126.44244170188904,50.52101109420892
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,32,1,1,1132208,6388,60,520.2097570896149,12.279662026599704,518.5285861492157,12.319475089000669
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,32,4,1,1132208,6388,60,125.64175724983215,50.84296924706164,124.0650234222412,51.4891290372724
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,64,1,1,1132208,6388,60,594.3858544826508,10.747227498474151,592.6112508773804,10.779410601034584
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,16,64,4,1,1132208,6388,60,136.1905961036682,46.90485380604001,134.63588190078735,47.44648981990768
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,8,1,1,1132208,6388,60,390.1027195453644,16.37517422960993,388.3452694416046,16.4492798101679
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,8,4,1,1132208,6388,60,104.93804574012756,60.874013375658606,103.2699625492096,61.85728978991377
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,16,1,1,1132208,6388,60,398.8876028060913,16.014536313141218,397.1151134967804,16.086015824859285
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,16,4,1,1132208,6388,60,112.93642783164978,56.56279486298574,111.32878565788268,57.37958931511703
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,32,1,1,1132208,6388,60,509.28497838974,12.543075627711646,507.4952869415283,12.587309014233272
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,32,4,1,1132208,6388,60,119.15899157524107,53.60904716927213,117.56589889526369,54.33548384375387
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,64,1,1,1132208,6388,60,503.3515696525574,12.690930922117458,501.5815644264221,12.735715291499847
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,32,64,4,1,1132208,6388,60,141.65940594673157,45.0940758738046,140.02870392799375,45.61921820889571
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,8,1,1,1132208,6388,60,376.8455526828766,16.95124157502168,375.1714532375336,17.026881829294044
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,8,4,1,1132208,6388,60,100.571284532547,63.51713642409239,98.99880766868591,64.52602966066402
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,16,1,1,1132208,6388,60,464.9413366317749,13.739367736749935,463.1854071617127,13.79145348974638
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,16,4,1,1132208,6388,60,108.76079821586607,58.73439791533375,107.2044620513916,59.587072009537486
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,32,1,1,1132208,6388,60,432.9848477840424,14.753403110277224,431.3111176490784,14.810654626337222
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,32,4,1,1132208,6388,60,118.32751369476318,53.98575361330113,116.7634253501892,54.708912322857344
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,64,1,1,1132208,6388,60,516.0859372615814,12.377783502289468,514.3931450843811,12.41851696711882
4000000,2024-02-15_22h39m22s,False,-1,5.5,5.5,64,64,4,1,1132208,6388,60,130.43180751800537,48.97578375672033,128.8030436038971,49.5951013366172
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,8,1,1,1130888,6388,50,341.7957272529602,18.689525616194416,340.09971618652344,18.782726641549388
