Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Concurrency,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
29000000,2024-01-08_11h01m57s,False,50,1,32,1,431680,1772,50,410.3507056236267,4.318257470294877,409.2384781837464,4.329993620991767
2a000000,2024-01-08_11h01m57s,False,50,1,64,1,431680,1772,50,414.7231378555298,4.272730017338175,413.3274564743042,4.287157729891002
2b000000,2024-01-08_11h01m57s,False,50,2,32,1,431680,1772,50,297.4477348327637,5.957349115454805,296.2157094478607,5.9821270225774565
2c000000,2024-01-08_11h01m57s,False,50,2,64,1,431680,1772,50,299.2991223335266,5.920498483872453,297.9569888114929,5.947167096392839
2d000000,2024-01-08_11h01m57s,False,-1,1,32,1,427328,1772,16,403.94924545288086,4.386689713984618,403.2592294216156,4.39419576965798
2e000000,2024-01-08_11h01m57s,False,-1,1,32,2,427328,1772,16,277.8945918083191,6.376518479432147,276.5615174770355,6.407254400992861
2f000000,2024-01-08_11h01m57s,False,-1,1,32,3,427328,1772,16,240.2807638645172,7.374706037638309,238.89720916748047,7.417416076877347
30000000,2024-01-08_11h01m57s,False,-1,2,32,1,427328,1772,16,296.3993203639984,5.978421265689355,295.7042877674103,5.992473133814642
31000000,2024-01-08_11h01m57s,False,-1,2,32,2,427328,1772,16,238.4409041404724,7.43161080682727,237.200825214386,7.470463049183903
32000000,2024-01-08_11h01m57s,False,-1,2,32,3,427328,1772,16,221.4572017192841,8.001546060561903,220.2203664779663,8.04648556507281
33000000,2024-01-08_11h01m57s,False,-1,2,64,1,427328,1772,16,319.2147297859192,5.5511222843268815,318.08049726486206,5.570916844123503
34000000,2024-01-08_11h01m57s,False,-1,2,64,2,427328,1772,16,248.6335666179657,7.126954031604031,247.3576545715332,7.163716049416035
35000000,2024-01-08_11h01m57s,False,-1,2,64,3,427328,1772,16,246.1199362277985,7.199741829771603,244.81462788581848,7.238129581155831
