Job ID,Dataset,Preserve order,Parallelism,Num cpus preprocess,Num cpus inference,Batch size preprocess,Batch size inference,Concurrency,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,16,4,1130888,6388,50,119.192628383636,53.5939184044119,117.540109157562,54.3474057135416
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,32,1,1130888,6388,50,492.632871866226,12.9670599848535,490.858933925629,13.01392224628
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,32,4,1130888,6388,50,124.194632768631,51.43539505367,122.552604675293,52.1245551404249
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,64,1,1130888,6388,50,488.543039798737,13.0756135685233,486.809519290924,13.1221756084487
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,8,64,4,1130888,6388,50,132.674041509628,48.1480772524474,131.007604122162,48.7605283892019
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,8,1,1130888,6388,50,360.916391372681,17.6993900878383,359.180187940598,17.7849453128981
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,8,4,1130888,6388,50,103.552057266235,61.6887792347405,101.97851896286,62.6406429997916
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,16,1,1130888,6388,50,433.589907169342,14.7328152578633,431.822108983994,14.7931286219455
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,16,4,1130888,6388,50,120.760244369507,52.89820365429,119.129815578461,53.6221765221551
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,32,1,1130888,6388,50,424.695974111557,15.0413481393681,423.002119541168,15.101579176315
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,32,4,1130888,6388,50,117.164986610413,54.5214076731033,115.570080518723,55.2738214884702
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,64,1,1130888,6388,50,443.26907324791,14.411111411843,441.534065723419,14.4677398549844
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,16,64,4,1130888,6388,50,142.443753004074,44.8457715082619,140.825466394424,45.3611137498985
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,8,1,1130888,6388,50,383.214260339737,16.6695258008842,381.447428226471,16.7467376296147
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,8,4,1130888,6388,50,101.894973754883,62.6920029968003,100.317347764969,63.6779195455435
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,16,1,1130888,6388,50,422.910576343536,15.1048480632249,421.217447757721,15.1655636156703
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,16,4,1130888,6388,50,111.072519779205,57.5119751735023,109.537006855011,58.3181902026545
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,32,1,1130888,6388,50,391.93620800972,16.2985707098579,390.224214076996,16.3700758937004
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,32,4,1130888,6388,50,117.899147748947,54.1819014129137,116.283074378967,54.9349080604927
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,64,1,1130888,6388,50,437.415413141251,14.6039664083286,435.721976280212,14.6607248377389
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,32,64,4,1130888,6388,50,129.150468349457,49.4616866794109,127.463375091553,50.1163569175201
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,8,1,1130888,6388,50,360.965001821518,17.6970065456889,359.326857566833,17.7776858742374
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,8,4,1130888,6388,50,102.200432300568,62.5046279766521,100.609798669815,63.4928216183433
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,16,1,1130888,6388,50,398.154837846756,16.044009497779,396.458371162415,16.1126626769676
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,16,4,1130888,6388,50,114.347254991531,55.8649177933751,112.736334323883,56.6631870577569
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,32,1,1130888,6388,50,420.93510222435,15.1757360368471,419.248332023621,15.2367928792144
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,32,4,1130888,6388,50,121.976361036301,52.3708032091473,120.631026506424,52.9548672924525
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,64,1,1130888,6388,50,446.467447042465,14.3078740506526,444.730412721634,14.3637579469933
4000000,2024-02-15_22h39m22s,False,50,5.5,5.5,64,64,4,1130888,6388,50,149.609055995941,42.6979500503853,132.677155256271,48.1469472846423
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,8,1,1137488,6388,100,415.469275474548,15.3753848409215,413.742685556412,15.4395478711829
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,8,4,1137488,6388,100,114.980401992798,55.5572940195507,113.406886816025,56.3281488395232
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,16,1,1137488,6388,100,428.2302339077,14.9172092351071,426.563687801361,14.9754894349439
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,16,4,1137488,6388,100,120.495260477066,53.0145333078543,118.902179002762,53.7248354367973
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,32,1,1137488,6388,100,408.206007957459,15.6489612486687,406.421389102936,15.7176767052043
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,32,4,1137488,6388,100,121.350399255753,52.6409475302751,119.769891500473,53.3356081396698
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,64,1,1137488,6388,100,507.725577354431,12.5815997556899,506.076260566711,12.6226035436767
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,8,64,4,1137488,6388,100,137.64617228508,46.4088459123278,136.06925201416,46.9466827034166
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,8,1,1137488,6388,100,402.806246757507,15.8587411476904,401.101179122925,15.9261561234211
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,8,4,1137488,6388,100,111.535193443298,57.2734022579832,109.940278768539,58.1042732613845
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,16,1,1137488,6388,100,448.527898550034,14.2421464097342,446.888134241104,14.2944050435529
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,16,4,1137488,6388,100,111.67342376709,57.2025087483934,110.087486743927,58.0265767612539
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,32,1,1137488,6388,100,489.512751102448,13.0497111374798,471.915698766708,13.5363159494253
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,32,4,1137488,6388,100,126.185369729996,50.6239353553322,124.583232402802,51.2749579280972
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,64,1,1137488,6388,100,526.00754570961,12.1443124763206,524.323362350464,12.1833213217194
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,16,64,4,1137488,6388,100,163.270892381668,39.1251612998303,146.010774374008,43.7501960207202
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,8,1,1137488,6388,100,385.365529775619,16.5764696279904,383.704060077667,16.6482470858061
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,8,4,1137488,6388,100,106.611393928528,59.9185487086165,105.0603723526,60.803134968538
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,16,1,1137488,6388,100,410.798910617828,15.5501872933223,409.107136011124,15.6144917497267
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,16,4,1137488,6388,100,115.481606006622,55.3161687033836,113.847158670425,56.1103155722361
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,32,1,1137488,6388,100,465.747893333435,13.7155746519432,464.086119651794,13.7646866163395
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,32,4,1137488,6388,100,136.332791090012,46.8559320830043,134.78652215004,47.3934626259523
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,64,1,1137488,6388,100,540.858219861984,11.8108586786942,539.20648598671,11.8470385019765
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,32,64,4,1137488,6388,100,142.012804508209,44.9818593620601,140.398273468018,45.4991350121921
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,8,1,1137488,6388,100,406.507116556168,15.7143620365558,404.845877408981,15.7788441391161
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,8,4,1137488,6388,100,107.265664339066,59.5530735707524,105.696781396866,60.4370342746257
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,16,1,1137488,6388,100,436.580327510834,14.6319007006597,434.86981511116,14.68945366642
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,16,4,1137488,6388,100,117.843015670776,54.20770983871,116.262471675873,54.9446429954547
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,32,1,1137488,6388,100,444.906796455383,14.3580634211341,443.252103805542,14.4116631261438
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,32,4,1137488,6388,100,124.437960863113,51.3348174117627,122.858167171478,51.9949153326046
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,64,1,1137488,6388,100,530.134508609772,12.0497720790747,528.453811645508,12.0880952303266
4000000,2024-02-15_22h39m22s,False,100,5.5,5.5,64,64,4,1137488,6388,100,135.677289962769,47.0823083343789,133.956571102142,47.6870970004833
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,8,1,1150688,6388,200,419.148331403732,15.2404280809291,417.424362897873,15.3033712638447
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,8,4,1150688,6388,200,119.195229768753,53.5927487399719,117.624338388443,54.3084882560976
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,16,1,1150688,6388,200,440.121814250946,14.5141635637213,438.461971521378,14.5691084173957
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,16,4,1150688,6388,200,121.419672012329,52.6109146411741,120.039932727814,53.2156246245536
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,32,1,1150688,6388,200,435.321918487549,14.6741979411329,433.632561922073,14.731366047986
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,32,4,1150688,6388,200,127.986659526825,49.9114518936337,126.380854845047,50.545630569062
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,64,1,1137488,6388,100,552.171083211899,11.5688781868872,550.441964149475,11.605219834339
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,8,64,4,1137488,6388,100,137.454629182816,46.4735166649347,135.781764745712,47.0460817176978
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,8,1,1150688,6388,200,429.573700904846,14.8705565227677,427.876190900803,14.9295523701644
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,8,4,1150688,6388,200,121.378816366196,52.6286232741603,119.824018001556,53.311515558734
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,16,1,1150688,6388,200,469.856730222702,13.595633709391,468.136978387833,13.6455787406476
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,16,4,1150688,6388,200,125.82065320015,50.7706790381884,124.232891559601,51.4195549971189
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,32,1,1150688,6388,200,501.595411539078,12.7353637075732,499.77113199234,12.781850713414
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,32,4,1150688,6388,200,133.09305357933,47.9964943939949,131.453362226486,48.5951815290495
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,64,1,1137488,6388,100,554.216870307922,11.5261738540201,552.530034065247,11.5613624711044
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,16,64,4,1137488,6388,100,149.650861024857,42.6860223606664,148.081834077835,43.1383095690341
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,8,1,1150688,6388,200,396.862886190414,16.0962393367644,395.166221618652,16.16534928981
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,8,4,1150688,6388,200,113.113875627518,56.4740617767849,111.483698368073,57.2998572303324
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,16,1,1150688,6388,200,465.207875967026,13.7314958108164,463.40123462677,13.7850301696865
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,16,4,1150688,6388,200,125.621913433075,50.8510006369486,124.042572259903,51.498448344133
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,32,1,1150688,6388,200,502.198729515076,12.7200640395253,500.529289007187,12.7624899087739
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,32,4,1150688,6388,200,136.009122133255,46.9674379174461,134.407646417618,47.5270579484136
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,64,1,1137488,6388,100,540.699480295181,11.814326132721,538.928886890411,11.8531408417507
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,32,64,4,1137488,6388,100,141.210628986359,45.2373879066646,139.543846845627,45.7777261011505
4000000,2024-02-15_22h39m22s,False,200,5.5,5.5,64,8,1,1137488,6388,100,391.68070936203,16.3092024889476,389.116770029068,16.4166658751891
